src_subject_id,session_id,param_trigger_onset,administer,duration,temperature,plateau,sequence,jitter1,jitter2,event01_fixation_onset,event04_fixation_onset,event04_fixation_duration,event05_administer_displayonset,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_experiment_duration,event02_fixation_onset,delay_between_medoc,event06_actual_displayonset
3,16,602925.1314958,35,13,47,10,15,1.1,0.7,602927.927305,602934.4321427,0,602934.7888514,0,0,602951.0033225,3.25764650001656,0,0,602929.4287652,0.0528746000491083,602947.7456131
3,16,602925.1314958,36,13,48,10,16,3.1,0.5,602951.827957,602960.1519252,0,602960.4661822,0,0,602975.4732048,2.03500260005239,0,0,602955.1483266,0.0324132000096142,602973.438171
3,16,602925.1314958,36,13,48,10,4,2.5,0.6,602977.4741352,602985.2129034,0,602985.6407817,0,0,603001.29053,2.70947919995524,0,0,602980.2090764,0.0615638999734074,602998.5810205
3,16,602925.1314958,147,7,46,3,20,2.5,0.5,603002.610019,603010.2800568,0,603010.6746511,0,0,603019.7214964,2.10510149993934,0,0,603005.2763619,0.0575610999949276,603017.6163221
3,16,602925.1314958,37,13,49,10,29,1.9,0.5,603021.6455002,603028.7208556,0,603029.0918638,0,0,603044.9716376,2.91264950006735,0,0,603023.7163478,0.0412749999668449,603042.0588114
3,16,602925.1314958,150,7,49,3,23,3,0.6,603046.1092128,603054.2863712,0,603054.7878891,0,0,603064.2329371,2.51811589999124,0,0,603049.2826585,0.0754882000619546,603061.7148161
3,16,602925.1314958,151,7,50,3,12,1.2,0.8,603065.7345432,603072.1197086,0,603072.7724265,0,0,603082.4419435,2.7014909000136,0,0,603067.1162014,0.0328275000210851,603079.7404489
3,16,602925.1314958,38,9,50,5,6,1.9,0.5,603083.7577213,603090.8146537,0,603091.192005,0,0,603102.432722,2.27001650002785,0,0,603085.8110301,0.0286844000220299,603100.162702
3,16,602925.1314958,150,7,49,3,35,1.2,1.9,603104.1799556,603110.555508,0,603112.342183,0,0,603121.3683293,2.08281249995343,0,0,603105.5520839,0.0569382000248879,603119.2855066
3,16,602925.1314958,35,13,47,10,27,1.1,0.6,603123.3025354,603129.6343398,0,603130.071417,0,0,NaN,NaN,0,0,603124.6312268,0.0653248999733478,603143.0079736
3,16,602925.1314958,33,13,45,10,1,1.6,0.6,603147.021425,603153.795517,0,603154.2743581,0,0,603168.4192661,1.19291859993245,0,0,603148.7923604,0.0475519999163225,603167.2263356
3,16,602925.1314958,148,7,47,3,9,3,0.5,603171.2453709,603179.4352087,0,603179.8297051,0,0,603187.9049886,1.15420069999527,0,0,603174.4314947,0.0783692999975756,603186.7507847
3,16,602925.1314958,33,13,45,10,13,1.4,2.9,603190.769233,603197.3503095,0,603200.1113519,0,0,603215.386855,2.31217320007272,0,0,603192.3468469,0.024618300027214,603213.0746783
3,16,602925.1314958,37,13,49,10,17,1.9,0.9,603217.0914814,603224.1672416,0,603224.9699339,0,0,603241.1372071,3.24078270001337,0,0,603219.1636922,0.0752266000490636,603237.8964213
3,16,602925.1314958,146,7,45,3,19,2.2,0.8,603241.9140234,603249.2977943,0,603249.9573163,0,0,603258.8088343,1.88998900004663,0,0,603244.2945401,0.0403380000498146,603256.9188415
3,16,602925.1314958,34,13,46,10,2,2.9,0.6,603260.9376566,603269.0341308,0,603269.4954075,0,0,603284.3219509,1.87884889997076,0,0,603264.0307851,0.0460484999930486,603282.4430988
3,16,602925.1314958,149,7,48,3,34,1,1.3,603286.4602127,603292.6154372,0,603293.7927844,0,0,603302.7360331,1.97042590007186,0,0,603287.611743,0.0275500999996439,603300.7656036
3,16,602925.1314958,149,7,48,3,10,2,2.7,603304.7842084,603311.9334407,0,603314.5848901,0,0,603325.1833703,3.69381329999305,0,0,603306.9298213,0.0937909999629483,603321.4895533
3,16,602925.1314958,146,7,45,3,31,2.2,2.3,603325.7012722,603333.0633562,0,603335.244753,0,0,603343.9229105,1.71622700011358,0,0,603328.0597776,0.0397801001090556,603342.2066797
3,16,602925.1314958,34,13,46,10,26,3,1.9,603346.2245466,603354.439876,0,603356.1462695,0,0,603371.2666614,2.13676469994243,0,0,603349.4365439,0.0186651999829337,603369.1298936
3,16,602925.1314958,37,13,49,10,5,1.9,2.4,603373.1487384,603380.2821031,0,603382.5061037,0,0,603397.7555713,2.30127820000052,0,0,603375.2784228,0.0520656999433413,603395.4542829
3,16,602925.1314958,35,13,47,10,3,3,0.5,603399.4735642,603407.7295457,0,603408.0525136,0,0,603423.5686754,2.59017189999577,0,0,603402.7259379,0.0751740999985486,603420.9784933
3,16,602925.1314958,149,7,48,3,22,1.3,0.8,603424.9974788,603431.4995723,0,603432.1236476,0,0,603441.6906603,2.58762210002169,0,0,603426.4958496,0.0225279999431223,603439.103035
3,16,602925.1314958,148,7,47,3,33,1.6,1,603443.1222193,603449.9343279,0,603450.7567386,0,0,603460.2510159,2.52380369999446,0,0,603444.9305906,0.0267796999542043,603457.7272089
3,16,602925.1314958,147,7,46,3,8,3.2,0.6,603461.7451715,603470.2091836,0,603470.5802625,0,0,603480.6004728,3.05027219990734,0,0,603465.2058035,0.0318813000340015,603477.5501973
3,16,602925.1314958,151,7,50,3,36,1.6,0.7,603481.5682368,603488.3665364,0,603488.9084372,0,0,603497.8175316,1.94437120005023,0,0,603483.3633052,0.0370733999880031,603495.8731505
3,16,602925.1314958,38,9,50,5,30,1.1,0.7,603499.8908635,603506.2171294,0,603506.7294075,0,0,603517.7874848,2.09122860000934,0,0,603501.2139252,0.0356042999774218,603515.6962462
3,16,602925.1314958,38,9,50,5,18,1.8,0.6,603519.7151447,603526.7181738,0,603527.1734009,0,0,603538.3206449,2.19979840004817,0,0,603521.7145164,0.0514231000561267,603536.1208365
