eightbit,duration,condition,temperature,plateau,sequence,jitter1,jitter2,fixed_ITI
145,8,c1,44,3,1,2.2,0.8,19.5
147,8,c1,46,3,2,2.5,0.5,19.5
149,8,c1,48,3,3,1.9,0.5,19.5
145,8,c1,44,3,4,1.3,0.8,19.5
147,8,c1,46,3,5,3,0.6,19.5
149,8,c1,48,3,6,3.4,0.6,19.5
145,8,c1,44,3,7,1.6,2.7,19.5
147,8,c1,46,3,8,3,1.9,19.5
149,8,c1,48,3,9,1.1,0.6,19.5
145,8,c1,44,3,10,2.2,0.7,19.5
147,8,c1,46,3,11,1.9,0.5,19.5
149,8,c1,48,3,12,1.1,0.7,19.5
