eightbit,duration,condition,temperature,plateau,sequence,jitter1,jitter2,fixed_ITI
32,13,c2,44,10,1,1.6,0.6,43
34,13,c2,46,10,2,2.9,0.6,43
36,13,c2,48,10,3,3,0.5,43
32,13,c2,44,10,4,2.5,0.6,43
34,13,c2,46,10,5,1.9,2.4,43
36,13,c2,48,10,6,1.9,0.5,43
32,13,c2,44,10,7,2.7,0.5,43
34,13,c2,46,10,8,3.2,0.6,43
36,13,c2,48,10,9,3,0.5,43
32,13,c2,44,10,10,2,2.7,43
34,13,c2,46,10,11,2,0.7,43
36,13,c2,48,10,12,1.2,0.8,43
